Project Name	Image Filename	Extracted Text
140700299 Mercado Pago 2022: Rediseño Home Nativa	behance_140700299_07.png	"RESULTADOS DEL MAPEO
Casos de uso solamente

de Mercado Pago

Mixtos Unicamente Unicamente
Nativo + Web Nativo Web"
140700299 Mercado Pago 2022: Rediseño Home Nativa	behance_140700299_08.png	",

04

FAVORITOS

Creamos atajos_ .
personalizados .

-F.

7|Ne

Sumamos la posibilidad de que la persona usuaria llegue
con un tap a sus accesos mas frecuentes, ademas de
permitirle elegir cuales quiere tener en su pantalla de inicio.

Buscamos fomentar la escalabilidad y que mas productos
del ecosistema puedan sumarse dia a dia."
140700299 Mercado Pago 2022: Rediseño Home Nativa	behance_140700299_02.png	"OBJETIVO

Enriquecer la propuesta de valor ofreciendo
mas y mejores soluciones a la hora de usar la

NUESTROS DESAFIOS

eB)

Disefar una pantalla de inicio
que permita dar visibilidad a
todos los productos.

cuenta digital.

Priorizar el entendimiento,
la facilidad y la conveniencia
de uso.

Generar awareness de la cuenta
como una herramienta virtual
para gestionar las finanzas."
140700299 Mercado Pago 2022: Rediseño Home Nativa	behance_140700299_11.png	"+

Cobrar com Enviar Amigos Ver mais
QR ou PIX dinheiro

SAMSUNG GalaxyA
Familia A completa ge
S6 no Mercado ne

Descontos com cdédigo QR

 
  
 

COBRAR COM POINT - BLACK

ACEITE TODOS C
CARTOES SEM C

  

  
     

Mf £4 A =

Inicio Atividade Notificag6es"
140700299 Mercado Pago 2022: Rediseño Home Nativa	behance_140700299_15.png	"NUESTRO PROCESO

gCuando y como Ilevamos a cabo

cada iniciativa?

  

2020
3); _— ry "" oS
“ 5 i R$ 100 e » _
xa
e@ be ond a=»
PENDIENTES
FAVORITOS CUENTA UES (etee

HTaaye){canr-yaltate(eyal

UX (Q1/Q2) + Implementacion UX (Q3/Q4) + Implementacion

Checkpoints semanales

Realizamos checks para dar visibilidad sobre los avances hasta
dar con una propuesta final. Dentro del proceso, incluimos

workshops y testeos con personas usuarias.

OO O80 OO O

RESULTADOS

UX, Producto y
Desarrollo.

 

2021

 

LW) Lyd

 

TAB BAR SUBCUENTAS PUBLICIDAD +
UX (Q1) + UX (Q3/Q4) + CROSS-SELL
Implementaci6n Implementaci6n Tyaey

Implementaci6n

Acuerdos

Hand-off
a Desarrollo

Armado de
specs

Logramos que +50M de usuarios unicos elijan

Mercado Pago

QUE DICEN NUESTROS USUARIOS

(4 (4 Amé mucho el cambio de la UI ™

vs

(4 (4 La nueva actualizaci6n ha hecho que la
app sea mucho mejor que antes. Para mi
es una de las mejores que probé.

(4 (4 Amo como mejora dia a dia la app de
Mercado Pago ®

ssa

Luan

jGracias por visitarnos!

ALGUNAS METRICAS DEL NEGOCIO

— +65%

de conversion en tareas resueltas

Desde el lanzamiento del componente
Pendientes en septiembre 2021

~ +70%

de trafico en la seccién Actividad

Desde la inclusi6n de Tab Bar en Android en
marzo 2022

~ +67% ©

de tarjetas virtuales generadas en Brasil

Durante la primera semana de lanzamiento del
méddulo de cuenta en marzo 2021"
140700299 Mercado Pago 2022: Rediseño Home Nativa	behance_140700299_04.png	"NUESTRO PROCESO

PLO TUC= al (ol lantoy-¥4

 

 

> H ia) Pa CUENTA
Foco en la
R$ 1.358” 2 4100x601 cuenta digital

Buscamos que la persona
Depositar Transferir Sacar Empréstimo usuaria entienda y encuentre las
acciones que puede realizar.

 
   

   
    
     
   

VISA S P es CLS
S N7Tn Te] Acciones principales Ocultar saldo

Limite disponivel

ee 1.000 ) Pague aproximando

Fatura fecha em 20/10 foe Ul clg

Reubicamos las acciones
principales para generar una mejor
asociacion con la cuenta digital.

Para asegurar la privacidad,
sumamos la posibilidad de
fool] ic] Este] (elon

   

Incorporamos la posibilidad de
solicitar un préstamo a través de

 

Mercado Crédito como una accién Pix, CVU y CLABE
principal mas.
Criptomoedas ds Investimentos : Generamos un acceso que permite
| ver los datos de la cuenta para
poder realizar transferencias.
R$ 7.000 R$ 21.000

TARJETA MERCADO PAGO
Le dimos protagonismo a la tarjeta con tecnologia
contactless y potenciamos sus funcionalidades.

A'UKY es) y a eae SH Preerit

71 ater)
Limite disponivel

R$ 1.000 ) Pague aproximando

Fatura fecha em 20/10 o celular Ir a mi tarjeta

CREDITO DEBITO

(BRASIL) (MEXICO)"
140700299 Mercado Pago 2022: Rediseño Home Nativa	behance_140700299_10.png	"Codificamos cada secci6n con colores, para
g facilitar la escaneabilidad y encontrabilidad
de cada acceso.

; ES
Se
e

=>

Tus tarjetas

Mercado #N426F
Crédito VY
#44D7B6 ©
Cobrar

Tus beneficios

Revendedores
#475EE8 #9B55EA #5D97B2 3
[o> Eg
= Tu negocio
Central de Invita y gana #578474
Fa descuentos #F2AB39
© #FF7079
Tu dinero
Amigos #444444
#F75CDD

Pagar
#2BB5F1"
140700299 Mercado Pago 2022: Rediseño Home Nativa	behance_140700299_09.gif	"Ola Agustina >

R$ 1.358 ° @ 4 100% CDI

Seus favoritos Cancelar

Depositar Transferir Sacar Empréstimo Vocé tem 6 atalhos, exlua algum deles antes de

adicionar outro.

Cartéo
Siar

°

Limite disponivel

R$ 1.000 ene esta)

Le M(lon Rae a 0} Cree

@ @
5
Recarregar Boletos Cobrar Cobrar

celular e tributos com Point com link

Criptomoedas dis Investimentos
R$ 7.000 R$ 21.000

@
[>

Cobrar com Enviar
QR ou PIX dinheiro

4 @ & @

Recarregar Boletos Cobrar Cobrar
celular e tributos com Point com link

[ f& +

Cobrar com Enviar
QR ou PIX dinheiro

Saiba mais

°o °o
a) 2 |

Codigo Cartado de Pagar com Comprar
QR transporte Shell Box gift cards

 

 

 

Ver mais"
140700299 Mercado Pago 2022: Rediseño Home Nativa	behance_140700299_06.gif	"R$ 7.000 R$ 21.000

  

    
  

Cobrar
com link

a

Recarregar
celular

 

   
   

 
 

 
 

 
 

Cobrar
com Point

Boletos
e tributos

     

| ie |
a mS 6M

  

    
  

   
 
 
  
 

  
 

Enviar Ver mais

dinheiro

Cobrar com
QR ou PIX

  

NS

he

SAMSUNG GalaxyA

Familia A completa
eso. a A compl eo ay” ™ e

    

03

PENDIENTES fae

Facilitamos la
resolucion de tareaS —_t——

Generamos un componente dinamico que da
visibilidad a tareas que necesitan ser resueltas,
brindando un rapido acceso para resolverlas.

Realizamos un mapeo de todos los potenciales
casos de uso para definir una “anatomia” que sea
escalable y reutilizable para todo el ecosistema."
140700299 Mercado Pago 2022: Rediseño Home Nativa	behance_140700299_13.gif	"CROSS-SELLING
Terese el Me Ae PE Rec reme nee es aceke
PO Rese cue Maen Retr ir n try
Pere tr aul era mci

 

   
  
    

 

PAGO CON GR

PAGUE COM QR EM SEUS
LOJAS FAVORITAS"
